North America,El Salvador,46.63,47.63
Europe,San Marino,58.71,57.80
Africa,Somalia,19.88,21.86
Europe,Serbia,54.16,54.90
Africa,South Sudan,23.15,23.30
Africa,Sao Tome and Principe,42.28,43.10
South America,Suriname,48.54,45.90
Europe,Slovakia,46.57,50.67
Europe,Slovenia,57.02,48.71
Europe,Sweden,65.16,65.15
Africa,Eswatini,38.94,37.63
Africa,Seychelles,52.13,51.58
Asia,Syrian Arab Republic,29.01,30.87
Africa,Chad,18.78,19.18
Africa,Togo,31.93,36.38
Asia,Thailand,54.74,51.56
Asia,Tajikistan,35.22,33.60
Asia,Turkmenistan,44.27,43.59
Asia,Timor-Leste,44.47,47.57
Oceania,Tonga,56.28,55.68
North America,Trinidad and Tobago,53.42,51.95
Africa,Tunisia,49.77,47.70
Asia,Turkiye,54.31,54.01
Oceania,Tuvalu,54.38,54.08
Africa,"Tanzania, United Republic of",31.49,31.86
Africa,Uganda,25.45,21.39
Europe,Ukraine,49.55,48.97
South America,Uruguay,52.96,54.50
North America,United States of America,68.79,69.24
Asia,Uzbekistan,42.08,41.98
North America,Saint Vincent and the Grenadines,50.13,51.10
South America,Venezuela (Bolivarian Rep. of),32.63,33.12
Asia,Viet Nam,50.16,46.90
Oceania,Vanuatu,42.94,44.86
Oceania,Samoa,45.55,44.50
Asia,"Yemen, Arab Republic",25.07,23.62
Africa,South Africa,53.49,52.19
Africa,Zambia,33.83,32.23
Africa,Zimbabwe,31.01,30.24
